the,61847,
of,29391,
and,26817,
a,21626,
in,18214,
to,16284,
it,10875,
is,9982,
to,9343,
was,9236,
I,8875,
for,8412,
that,7308,
you,6954,
he,6810,
be*,6644,
with,6575,
on,6475,
by,5096,
at,4790,
have*,4735,
are,4707,
not,4626,
this,4623,
's,4599,
but,4577,
had,4452,
they,4332,
his,4285,
from,4134,
she,3801,
that,3792,
which,3719,
or,3707,
we,3578,
's,3490,
an,3430,
~n't,3328,
were,3227,
as,3006,
do,2802,
been,2686,
their,2608,
has,2593,
would,2551,
there,2532,
what,2493,
will,2470,
all,2436,
if,2369,
can,2354,
her*,2183,
said,2087,
who,2055,
one,1962,
so,1893,
up,1795,
as,1774,
them,1733,
some,1712,
when,1712,
could,1683,
him,1649,
into,1634,
its,1632,
then,1595,
two,1561,
out,1542,
time,1542,
my,1525,
about,1524,
did,1434,
your,1383,
now,1382,
me,1364,
no,1343,
other,1336,
only,1298,
just,1277,
more,1275,
these,1254,
also,1248,
people,1241,
know,1233,
any,1220,
first,1193,
see,1186,
very,1165,
new,1145,
may,1135,
well,1119,
should,1112,
her*,1085,
like,1064,
than,1033,
how,1016,
get,995,
way,958,
one,953,
our,950,
made,943,
got,932,
after,927,
think,916,
between,903,
many,902,
years,902,
er,896,
've,891,
those,888,
go,881,
being,862,
because*,852,
down,845,
're,835,
yeah,834,
three,797,
good,795,
back,793,
make,791,
such,763,
on,756,
there,746,
through,743,
year,737,
over,735,
'll,726,
must,723,
still,718,
even,716,
take,715,
too,701,
more,699,
here,699,
own,695,
come,695,
last,691,
does,687,
oh,684,
say,679,
no,662,
going*,658,
'm,658,
work,653,
where,628,
erm,627,
us,623,
government,622,
same,615,
man,614,
might,614,
day,610,
yes,606,
however,605,
put,596,
world,590,
over,584,
another,581,
in,573,
want,572,
as,567,
life,566,
most,565,
against,562,
again,561,
never,559,
under,553,
old,544,
much,531,
something,526,
Mr,524,
why,509,
each,508,
while,503,
house,501,
part,496,
number,493,
out of,491,
found*,489,
off,486,
different,484,
went,483,
really,481,
',479,
thought,473,
came,472,
used,469,
children,466,
always,462,
four,461,
where,458,
without,456,
give,451,
few,450,
within,449,
about,447,
system,447,
local,445,
place,443,
great,442,
during,440,
although,436,
small,435,
before,434,
look,433,
next,431,
when,431,
case,431,
end,429,
things,424,
social,422,
most,422,
find,420,
group,414,
quite,412,
mean,411,
five,407,
party,403,
every,401,
company,401,
women,399,
says,398,
important,392,
took,391,
much,390,
men,389,
information,386,
1,385,
per cent,382,
both,378,
national,376,
often,376,
seen,376,
given,375,
school,375,
fact,374,
money,374,
told,372,
away,371,
high,370,
point,369,
night,365,
state,364,
business,358,
second,358,
British,357,
need,356,
taken,355,
done,354,
right,354,
'd [= would],353,
having,353,
thing,352,
looked,352,
London,351,
area,351,
perhaps,350,
head,350,
water,349,
right,346,
family,345,
long,345,
2,344,
hand,344,
like,344,
already,343,
possible,342,
nothing,341,
yet,337,
large,337,
left,336,
side,335,
asked,334,
set,332,
whether,332,
days,331,
mm,330,
home,330,
called,329,
John,328,
development,324,
week,322,
such as,321,
use,319,
country,319,
power,318,
ca~,318,
later,317,
almost,316,
'd [= had],315,
young,315,
council,313,
himself,311,
of course,310,
far,310,
both,310,
use,310,
room,309,
together,308,
tell,307,
little,306,
political,306,
before,305,
able,304,
become,304,
six,303,
general,301,
service,300,
eyes,297,
members,297,
since,295,
times,292,
problem,290,
anything,288,
market,287,
towards,286,
court,285,
public,285,
others,282,
face,282,
full,281,
doing,279,
war,279,
car,278,
felt,278,
police,278,
keep,276,
held,276,
problems,275,
road,273,
probably,273,
help,272,
interest,272,
available,272,
law,270,
best,266,
form,266,
A / a,266,
looking,264,
early,264,
making,264,
today,263,
mother,262,
saw,261,
knew,261,
education,260,
work,260,
actually,260,
policy,260,
ever,259,
so,258,
at least,257,
office,257,
am,256,
research,256,
feel,256,
big,255,
body,255,
door,254,
let,253,
Britain,251,
3,250,
name,250,
person,250,
services,249,
months,248,
report,248,
question,248,
using,247,
health,246,
turned,246,
lot*,246,
million,245,
main,245,
though,245,
words,244,
enough,244,
child,244,
less,243,
book,243,
period,243,
until,242,
several,240,
sure,240,
father,239,
for example,239,
level,239,
control,238,
known,238,
society,238,
major,238,
seemed,238,
around,237,
began,237,
itself,237,
themselves,237,
minister,237,
economic,236,
wanted,234,
upon,234,
areas,234,
after,233,
therefore,232,
woman,232,
England,231,
city,231,
community,231,
only,231,
including,230,
centre,230,
gave,229,
job,229,
among,229,
position,228,
effect,228,
likely,227,
real,227,
clear,227,
staff,226,
black,225,
kind,225,
read,225,
provide,223,
particular,223,
became,223,
line,221,
moment,221,
international,221,
action,221,
special,220,
difficult,220,
certain,220,
particularly,220,
either,220,
open,219,
management,218,
taking,218,
across,217,
idea,217,
further*,216,
whole,216,
age,216,
process,215,
act,215,
around,215,
evidence,215,
view,214,
better,214,
off,214,
mind,213,
sense,213,
rather,213,
seems,212,
believe,212,
morning,211,
third,211,
else,209,
half,209,
white,206,
death,205,
sometimes,205,
thus,205,
brought,204,
getting,203,
church,203,
ten,203,
shall,202,
try,202,
behind,202,
heard,202,
God,202,
table,201,
change,201,
4,201,
support,201,
back,200,
sort,199,
Mrs,198,
whose,198,
industry,198,
ago,198,
free,198,
care,198,
